cnpj;ticker;denominacao;gestor;segmento_b3;classificacao_scout;observacoes
65819277000196;;CLASSE ÚNICA GRÃO TEVA ITBR TESOURO IPCA 2 ANOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;GRÃO GESTÃO DE RECURSOS LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
34081054000140;;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B - RESP LIMITADA;BANCO BRADESCO S.A.;ETF-RF;Renda Fixa;
34081072000122;;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B5+ - RESP LIMITAD;BANCO BRADESCO S.A.;ETF-RF;Renda Fixa;
66171634000115;;GALAPAGOS TEVA ITBR TESOURO PRÉ FIXADO 3 ANOS FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
65180394000152;;GALAPAGOS TEVA TESOURO SELIC & IPCA+ FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
62794396000143;;GALAPAGOS TEVA TESOURO SELIC FUNDO DE ÍNDICE;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LT;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
61736225000103;;GENIAL TEVA DEBÊNTURES DI QUALITY HIGH BETA  FUNDO DE ÍNDICE;PLURAL GESTÃO DE RECURSOS LTDA;ETF-RF;Renda Fixa;
43216061000101;;INVESTO BLOOMBERG US BOND ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;;Renda Fixa;
56176507000155;;INVESTO ETF MARKETVECTOR BRAZIL TREASURY 760 DAY TARGET DURATION CLASSE DE ÍNDICE - RESP LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF-RF;Renda Fixa;
50642881000112;;INVESTO TEVA TESOURO IPCA+ 0 A 4 ANOS ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
45823821000166;;INVESTO TEVA TESOURO SELIC ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
64731230000103;;INVESTO V8 LETRA FINANCEIRA S1 DI B3 FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF-RF;Renda Fixa;
64731230000103;;INVESTO V8 LETRA FINANCEIRA S1 DI B3 FUNDO DE ÍNDICE;V8 CAPITAL GESTÃO DE INVESTIMENTOS LTDA.;ETF-RF;Renda Fixa;
31024153000100;;IT NOW ID ETF IMA-B FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
38354864000184;;IT NOW IMA-B5 P2 FUNDO DE INDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
32880663000134;;IT NOW IMA-B5+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
32880642000119;;IT NOW IRF-M P2 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
57055305000118;;IT NOW IRFM P3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
64758770000180;;IT NOW NTN-B 2035 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;
64758102000153;;IT NOW NTN-B 2050 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;
64759097000101;;IT NOW NTN-B 2060 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;
59834667000132;;IT NOW S&P IMA-B FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;;Renda Fixa;sinais no nome: Renda Fixa + Ações Internacionais
62013226000184;;IT NOW S&P TESOURO AMERICANO 10 ANOS BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Ações Internacionais + Commodities
64538158000100;;IT NOW TEVA ITBR PRÉ 5 ANOS FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
66198405000194;;IT NOW TEVA ITBR SELIC IPCA TARGET 800 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;
63702230000112;;IT NOW TEVA TESOURO SELIC FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ETF-RF;Renda Fixa;sinais no nome: Renda Fixa + Commodities
